threads,mean_wall_time,stddev_wall_time
1,28.85569901826481,0.13301737375446343
2,19.60860819524775,0.012640217837555213
4,13.879693429917097,0.001443010226596811
6,11.866435974215468,0.013796843299609955
8,10.719070124439895,0.014559809294098166
10,10.455778707750142,0.2713926275886671
12,9.876076202839613,0.0037546806969868626
14,9.615571844701966,0.003368241692469788
16,9.438193750567734,0.015014806098005847
18,9.267493996148309,0.017163559249875084
20,9.213702098776897,0.01952620555309919
22,9.400546893166998,0.5142911295233201
24,9.130195634439588,0.22038204043394696
26,9.568149058458706,0.8194294934534008
28,8.989970748312771,0.01683919429514436
30,8.972645518369973,0.017761018423020063
32,8.984643790870905,0.035450894482941656
34,8.926340871490538,0.0049134635318089665
36,8.919121225985387,0.02821710313429708
38,9.350380186301967,0.4725579992170329
40,8.881917193221549,0.05559338262411773
42,8.853040961548686,0.027619894927094428
44,8.840631887006262,0.024633098072436955
46,8.826323035794,0.00954220626797726
48,8.82969336087505,0.006238771922562519
